transcriptions,open_ai,v0.1.10_Akbar,elevenlab_v3_Pratama
"Iya, padahal kalau santai pasti lebih nyaman. Tapi ya gitu, siapa cepat dia dapat spot deket pegangan.",openai-fm-ballad-friendly.mp3,"v0.1.10_Akbar_Iya,_padahal_kalau_santai_past.wav",ElevenLabs_2025-06-16T06_13_23_Pratama_pvc_sp100_s50_sb75_v3_iya_padahal_kalau.mp3
"Setuju. Oiya, setelah turun stasiun, kita mampir ngopi yuk. Gue butuh kafein ekstra buat pulih. <mmm>",openai-fm-ballad-friendly (1).mp3,"v0.1.10_Akbar_Setuju._Oiya,_setelah_turun_st.wav",ElevenLabs_2025-06-16T06_30_47_Pratama_pvc_sp100_s50_sb75_v3_setuju_oiya.mp3
"Dengan menggunakan QRIS, pembayaran menjadi lebih mudah dan praktis, baik untuk transaksi kecil maupun besar.",openai-fm-ballad-friendly (2).mp3,"v0.1.10_Akbar_Dengan_menggunakan_QRIS,_pemba.wav",ElevenLabs_2025-06-16T06_32_00_Pratama_pvc_sp100_s50_sb75_v3_dengan_menggunakan_qris.mp3
"<mmm> mengenai masalah ini, pastikan kakak sudah memperbarui aplikasinya ke versi terbaru.",openai-fm-ballad-friendly (3).mp3,"v0.1.10_Akbar_<mmm>_mengenai_masalah_ini,_pa.wav",ElevenLabs_2025-06-16T06_39_18_Pratama_pvc_sp100_s50_sb75_v3_mmm_mengenai_masalah_ini.mp3
"Baik, kalau boleh tahu, apa ada alasan khusus kenapa kakak belum tertarik untuk melanjutkan ke proses pencairan?",openai-fm-ballad-friendly (4).mp3,"v0.1.10_Akbar_Baik,_kalau_boleh_tahu,_apa_ad.wav",ElevenLabs_2025-06-16T06_40_25_Pratama_pvc_sp100_s50_sb75_v3_baik_kalau_boleh_tau.mp3
"Oh baik, mungkin bisa dicoba dulu kak untuk mencairkan dananya, mulai dari dua ratus ribu saja. Setelah ada riwayat transaksi, kedepannya akun Gopay Pinjam kakak bisa kami upgrade untuk dapat harga lebih murah, limit lebih tinggi dan tenor lebih panjang.",openai-fm-ballad-friendly (5).mp3,"v0.1.10_Akbar_Oh_baik,_mungkin_bisa_dicoba_d.wav",ElevenLabs_2025-06-16T06_45_43_Pratama_pvc_sp100_s50_sb75_v3_oh_baik_mungkin.mp3
"Tetapi kakak tidak perlu khawatir, jika kakak sering mengajukan pinjaman dan pembayaran tepat waktu, limit bisa dinaikkan hingga dua puluh lima juta rupiah, dan pilihan tenor juga bisa ditambah hingga dua belas bulan kak",openai-fm-ballad-friendly (6).mp3,v0.1.10_Akbar_Tetapi_kakak_tidak_perlu_khawa.wav,ElevenLabs_2025-06-16T06_46_54_Pratama_pvc_sp100_s50_sb75_v3_tetapi_kakak_tidak.mp3
"Halo kak, saya Citra dari Gopay. boleh izin minta waktunya sebentar, kak?",openai-fm-ballad-friendly (7).mp3,"v0.1.10_Akbar_Halo_kak,_saya_Citra_dari_Gopa.wav",ElevenLabs_2025-08-21T08_03_27_Pratama_pvc_sp100_s50_sb75_v3.mp3
"Jadi, karena kakak telah melunasi pinjamannya di Gopay Pinjam dengan riwayat pembayaran yang baik, kami punya penawaran khusus berupa bunga cicilan lebih murah, mulai hanya dari nol koma nol delapan persen per hari. Ditambah diskon biaya layanan juga nih kak hingga lima ratus ribu rupiah. Bagaimana Kak, apakah tertarik untuk mencairkan dananya?",openai-fm-ballad-friendly (8).mp3,"v0.1.10_Akbar_Jadi,_karena_kakak_telah_melun.wav",ElevenLabs_2025-08-21T08_04_12_Pratama_pvc_sp100_s50_sb75_v3.mp3
"<mmm> sayang sekali loh jika promo ini dilewatkan, karena promo ini hanya berlaku hingga tiga puluh Mei. Bagaimana, apakah berminat untuk melakukan pencairan dana di hari ini?",openai-fm-ballad-friendly (9).mp3,v0.1.10_Akbar_<mmm>_sayang_sekali_loh_jika_p.wav,ElevenLabs_2025-08-21T08_05_22_Pratama_pvc_sp100_s50_sb75_v3.mp3
